locus_tag	ftype	length_bp	gene	EC_number	COG	product
PCGOOAAK_00001	CDS	1416	dnaA		COG0593	Chromosomal replication initiator protein DnaA
PCGOOAAK_00002	CDS	741	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
PCGOOAAK_00003	CDS	2625				hypothetical protein
PCGOOAAK_00004	CDS	357	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
PCGOOAAK_00005	CDS	657	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
PCGOOAAK_00006	CDS	1101				hypothetical protein
PCGOOAAK_00007	CDS	1071	mnmA_1	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
PCGOOAAK_00008	CDS	600				hypothetical protein
PCGOOAAK_00009	CDS	687				hypothetical protein
PCGOOAAK_00010	CDS	2040	prlC	3.4.24.70	COG0339	Oligopeptidase A
PCGOOAAK_00011	CDS	474				hypothetical protein
PCGOOAAK_00012	CDS	435	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
PCGOOAAK_00013	CDS	1653				hypothetical protein
PCGOOAAK_00014	CDS	564	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
PCGOOAAK_00015	CDS	291				hypothetical protein
PCGOOAAK_00016	CDS	1122	recF		COG1195	DNA replication and repair protein RecF
PCGOOAAK_00017	CDS	678				hypothetical protein
PCGOOAAK_00018	CDS	495	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
PCGOOAAK_00019	tRNA	84				tRNA-Tyr(gta)
PCGOOAAK_00020	tRNA	74				tRNA-Gly(tcc)
PCGOOAAK_00021	tRNA	85				tRNA-Tyr(gta)
PCGOOAAK_00022	tRNA	74				tRNA-Gly(tcc)
PCGOOAAK_00023	CDS	1086	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
PCGOOAAK_00024	CDS	1230	pepT_1	3.4.11.4	COG2195	Peptidase T
PCGOOAAK_00025	CDS	1197				hypothetical protein
PCGOOAAK_00026	CDS	450				hypothetical protein
PCGOOAAK_00027	CDS	1434	nhaP2		COG3263	K(+)/H(+) antiporter NhaP2
PCGOOAAK_00028	CDS	2058	ppk_1	2.7.4.1	COG0855	Polyphosphate kinase
PCGOOAAK_00029	CDS	492				hypothetical protein
PCGOOAAK_00030	CDS	1140	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
PCGOOAAK_00031	CDS	1041	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
PCGOOAAK_00032	CDS	663	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
PCGOOAAK_00033	CDS	2763	metH_1	2.1.1.13	COG0646	Methionine synthase
PCGOOAAK_00034	CDS	459	smpB		COG0691	SsrA-binding protein
PCGOOAAK_00035	CDS	570				hypothetical protein
PCGOOAAK_00036	CDS	828				hypothetical protein
PCGOOAAK_00037	CDS	510				hypothetical protein
PCGOOAAK_00038	CDS	702				hypothetical protein
PCGOOAAK_00039	CDS	1011				hypothetical protein
PCGOOAAK_00040	CDS	1251	xerC_1			Tyrosine recombinase XerC
PCGOOAAK_00041	CDS	942				hypothetical protein
PCGOOAAK_00042	CDS	486				hypothetical protein
PCGOOAAK_00043	CDS	1794				hypothetical protein
PCGOOAAK_00044	CDS	195				hypothetical protein
PCGOOAAK_00045	CDS	567				hypothetical protein
PCGOOAAK_00046	CDS	1020				hypothetical protein
PCGOOAAK_00047	CDS	315				hypothetical protein
PCGOOAAK_00048	CDS	276	yoeB	3.1.-.-	COG4115	Toxin YoeB
PCGOOAAK_00049	CDS	273				hypothetical protein
PCGOOAAK_00050	CDS	447				hypothetical protein
PCGOOAAK_00051	CDS	588	xerC_2			Tyrosine recombinase XerC
PCGOOAAK_00052	CDS	369				hypothetical protein
PCGOOAAK_00053	CDS	330				hypothetical protein
PCGOOAAK_00054	CDS	708				hypothetical protein
PCGOOAAK_00055	CDS	657				hypothetical protein
PCGOOAAK_00056	CDS	489				hypothetical protein
PCGOOAAK_00057	CDS	594				hypothetical protein
PCGOOAAK_00058	CDS	1221				hypothetical protein
PCGOOAAK_00059	CDS	177				hypothetical protein
PCGOOAAK_00060	CDS	1191	bcr			Bicyclomycin resistance protein
PCGOOAAK_00061	CDS	837	rhaR_1			HTH-type transcriptional activator RhaR
PCGOOAAK_00062	CDS	1182	uxuA_1	4.2.1.8	COG1312	Mannonate dehydratase
PCGOOAAK_00063	CDS	816	uxuB_1	1.-.-.-	COG1028	putative oxidoreductase UxuB
